Packet Number,Device Name Source,Device Type Source,Source Address,Destination Address,Device Name Destination,Device Type Destination,Source Address ZigBee,Device Name ZigBee Source,Device Type ZigBee Source,Destination Address ZigBee,Device Name ZigBee Destination,Device Type ZigBee Destination,Human Command,Human Command Origin,Packet Type,Command String
2028,Ledvance Smart+ Plug,Socket,0x0112,0xffff,Broadcast,Broadcast,0x0112,Ledvance Smart+ Plug,Socket,0xfffc,Broadcast,Broadcast,0,,Link Status (0x08),"{'Command Identifier': 'Link Status (0x08)', 'Last Frame': 'True', 'First Frame': 'True', 'Link Status Count': '8', 'Links': [{'Address': '0x0000', 'Incoming Cost': '3', 'Outgoing Cost': '1'}, {'Address': '0x1cd8', 'Incoming Cost': '3', 'Outgoing Cost': '1'}, {'Address': '0x1e15', 'Incoming Cost': '7', 'Outgoing Cost': '0'}, {'Address': '0x3d95', 'Incoming Cost': '7', 'Outgoing Cost': '7'}, {'Address': '0x4e11', 'Incoming Cost': '7', 'Outgoing Cost': '3'}, {'Address': '0xa706', 'Incoming Cost': '1', 'Outgoing Cost': '2'}, {'Address': '0xe1a6', 'Incoming Cost': '7', 'Outgoing Cost': '5'}, {'Address': '0xec7f', 'Incoming Cost': '7', 'Outgoing Cost': '1'}]}"
2029,Coordinator,Coordinator,0x0000,0xffff,Broadcast,Broadcast,0x0000,Coordinator,Coordinator,0xfffc,Broadcast,Broadcast,0,,Link Status (0x08),"{'Command Identifier': 'Link Status (0x08)', 'Last Frame': 'True', 'First Frame': 'True', 'Link Status Count': '8', 'Links': [{'Address': '0x0112', 'Incoming Cost': '1', 'Outgoing Cost': '3'}, {'Address': '0x1cd8', 'Incoming Cost': '1', 'Outgoing Cost': '1'}, {'Address': '0x1e15', 'Incoming Cost': '1', 'Outgoing Cost': '3'}, {'Address': '0x3d95', 'Incoming Cost': '1', 'Outgoing Cost': '3'}, {'Address': '0x4e11', 'Incoming Cost': '1', 'Outgoing Cost': '3'}, {'Address': '0xa706', 'Incoming Cost': '1', 'Outgoing Cost': '3'}, {'Address': '0xe1a6', 'Incoming Cost': '1', 'Outgoing Cost': '1'}, {'Address': '0xec7f', 'Incoming Cost': '1', 'Outgoing Cost': '1'}]}"
2030,Smart Socket,Socket,0xe1a6,0xffff,Broadcast,Broadcast,0xe1a6,Smart Socket,Socket,0xfffc,Broadcast,Broadcast,0,,Link Status (0x08),"{'Command Identifier': 'Link Status (0x08)', 'Last Frame': 'True', 'First Frame': 'True', 'Link Status Count': '8', 'Links': [{'Address': '0x0000', 'Incoming Cost': '1', 'Outgoing Cost': '1'}, {'Address': '0x0112', 'Incoming Cost': '7', 'Outgoing Cost': '7'}, {'Address': '0x1cd8', 'Incoming Cost': '1', 'Outgoing Cost': '1'}, {'Address': '0x1e15', 'Incoming Cost': '1', 'Outgoing Cost': '1'}, {'Address': '0x3d95', 'Incoming Cost': '1', 'Outgoing Cost': '1'}, {'Address': '0x4e11', 'Incoming Cost': '1', 'Outgoing Cost': '1'}, {'Address': '0xa706', 'Incoming Cost': '5', 'Outgoing Cost': '5'}, {'Address': '0xec7f', 'Incoming Cost': '1', 'Outgoing Cost': '1'}]}"
2031,Smart Socket,Socket,0xe1a6,0x0000,Coordinator,Coordinator,0xe1a6,Smart Socket,Socket,0x0000,Coordinator,Coordinator,0,,Report Attributes (0x0a),"{'Layer ZBEE_ZCL': '', 'Sequence Number': '41', 'Command': 'Report Attributes (0x0a)', 'Attribute': ['Application Version (0x0001)', 'Unknown (0xffe2)', 'Unknown (0xffe4)'], 'Data Type': ['8-Bit Unsigned Integer (0x20)', '8-Bit Unsigned Integer (0x20)', '8-Bit Unsigned Integer (0x20)'], 'Uint8': ['77 (0x4d)', '54 (0x36)', '0 (0x00)']}"
2032,Coordinator,Coordinator,0x0000,0xe1a6,Smart Socket,Socket,0x0000,Coordinator,Coordinator,0xe1a6,Smart Socket,Socket,0,,Default Response (0x0b),"{'Layer ZBEE_ZCL': '', 'Sequence Number': '41', 'Command': 'Default Response (0x0b)', 'Response to Command': '0x0a', 'Status': 'Success (0x00)'}"
2033,Moes Bulb,Bulb,0x1e15,0xffff,Broadcast,Broadcast,0x1e15,Moes Bulb,Bulb,0xfffc,Broadcast,Broadcast,0,,Link Status (0x08),"{'Command Identifier': 'Link Status (0x08)', 'Last Frame': 'True', 'First Frame': 'True', 'Link Status Count': '6', 'Links': [{'Address': '0x0000', 'Incoming Cost': '3', 'Outgoing Cost': '1'}, {'Address': '0x1cd8', 'Incoming Cost': '1', 'Outgoing Cost': '1'}, {'Address': '0x3d95', 'Incoming Cost': '1', 'Outgoing Cost': '1'}, {'Address': '0x4e11', 'Incoming Cost': '3', 'Outgoing Cost': '3'}, {'Address': '0xe1a6', 'Incoming Cost': '1', 'Outgoing Cost': '1'}, {'Address': '0xec7f', 'Incoming Cost': '1', 'Outgoing Cost': '1'}]}"
2034,Power Plug 2,Socket,0xa706,0xffff,Broadcast,Broadcast,0xa706,Power Plug 2,Socket,0xfffc,Broadcast,Broadcast,0,,Link Status (0x08),"{'Command Identifier': 'Link Status (0x08)', 'Last Frame': 'True', 'First Frame': 'True', 'Link Status Count': '7', 'Links': [{'Address': '0x0000', 'Incoming Cost': '5', 'Outgoing Cost': '1'}, {'Address': '0x0112', 'Incoming Cost': '2', 'Outgoing Cost': '1'}, {'Address': '0x1cd8', 'Incoming Cost': '5', 'Outgoing Cost': '1'}, {'Address': '0x1e15', 'Incoming Cost': '7', 'Outgoing Cost': '0'}, {'Address': '0x3d95', 'Incoming Cost': '7', 'Outgoing Cost': '7'}, {'Address': '0xe1a6', 'Incoming Cost': '5', 'Outgoing Cost': '5'}, {'Address': '0xec7f', 'Incoming Cost': '5', 'Outgoing Cost': '1'}]}"
2035,Power Plug 1,Socket,0x3d95,0xffff,Broadcast,Broadcast,0x3d95,Power Plug 1,Socket,0xfffc,Broadcast,Broadcast,0,,Link Status (0x08),"{'Command Identifier': 'Link Status (0x08)', 'Last Frame': 'True', 'First Frame': 'True', 'Link Status Count': '8', 'Links': [{'Address': '0x0000', 'Incoming Cost': '3', 'Outgoing Cost': '1'}, {'Address': '0x0112', 'Incoming Cost': '7', 'Outgoing Cost': '7'}, {'Address': '0x1cd8', 'Incoming Cost': '1', 'Outgoing Cost': '1'}, {'Address': '0x1e15', 'Incoming Cost': '1', 'Outgoing Cost': '1'}, {'Address': '0x4e11', 'Incoming Cost': '2', 'Outgoing Cost': '3'}, {'Address': '0xa706', 'Incoming Cost': '5', 'Outgoing Cost': '7'}, {'Address': '0xe1a6', 'Incoming Cost': '1', 'Outgoing Cost': '1'}, {'Address': '0xec7f', 'Incoming Cost': '1', 'Outgoing Cost': '1'}]}"
2036,Ledvance Bulb,Bulb,0xec7f,0xffff,Broadcast,Broadcast,0xec7f,Ledvance Bulb,Bulb,0xfffc,Broadcast,Broadcast,0,,Link Status (0x08),"{'Command Identifier': 'Link Status (0x08)', 'Last Frame': 'True', 'First Frame': 'True', 'Link Status Count': '8', 'Links': [{'Address': '0x0000', 'Incoming Cost': '1', 'Outgoing Cost': '1'}, {'Address': '0x0112', 'Incoming Cost': '1', 'Outgoing Cost': '7'}, {'Address': '0x1cd8', 'Incoming Cost': '1', 'Outgoing Cost': '1'}, {'Address': '0x1e15', 'Incoming Cost': '1', 'Outgoing Cost': '1'}, {'Address': '0x3d95', 'Incoming Cost': '1', 'Outgoing Cost': '1'}, {'Address': '0x4e11', 'Incoming Cost': '1', 'Outgoing Cost': '1'}, {'Address': '0xa706', 'Incoming Cost': '1', 'Outgoing Cost': '5'}, {'Address': '0xe1a6', 'Incoming Cost': '1', 'Outgoing Cost': '1'}]}"
2037,Smart Socket,Socket,0xe1a6,0x0000,Coordinator,Coordinator,0xe1a6,Smart Socket,Socket,0x0000,Coordinator,Coordinator,0,,Report Attributes (0x0a),"{'Layer ZBEE_ZCL': '', 'Sequence Number': '42', 'Command': 'Report Attributes (0x0a)', 'Attribute': 'RMS Voltage (0x0505)', 'Data Type': '16-Bit Unsigned Integer (0x21)', 'Uint16': '222 (0x00de)'}"
2038,Coordinator,Coordinator,0x0000,0xe1a6,Smart Socket,Socket,0x0000,Coordinator,Coordinator,0xe1a6,Smart Socket,Socket,0,,Read Attributes (0x00),"{'Layer ZBEE_ZCL': '', 'Sequence Number': '156', 'Command': 'Read Attributes (0x00)', 'Attribute': ['Current Summation Delivered (0x0000)', 'Status (0x0200)']}"
2039,Smart Socket,Socket,0xe1a6,0x0000,Coordinator,Coordinator,0xe1a6,Smart Socket,Socket,0x0000,Coordinator,Coordinator,0,,Read Attributes Response (0x01),"{'Layer ZBEE_ZCL': '', 'Sequence Number': '156', 'Command': 'Read Attributes Response (0x01)', 'Attribute': ['Current Summation Delivered (0x0000)', 'Status (0x0200)'], 'Status': ['Success (0x00)', 'Success (0x00)'], 'Data Type': ['48-Bit Unsigned Integer (0x25)', '8-Bit Bitmap (0x18)'], 'Uint48': '231 (0x00000000000000e7)', 'Bitmap8': '0x00'}"
2040,Coordinator,Coordinator,0x0000,0xe1a6,Smart Socket,Socket,0x0000,Coordinator,Coordinator,0x3d95,Power Plug 1,Socket,0,,Read Attributes (0x00),"{'Layer ZBEE_ZCL': '', 'Sequence Number': '158', 'Command': 'Read Attributes (0x00)', 'Attribute': ['Current Summation Delivered (0x0000)', 'Status (0x0200)']}"
2041,Smart Socket,Socket,0xe1a6,0x3d95,Power Plug 1,Socket,0x0000,Coordinator,Coordinator,0x3d95,Power Plug 1,Socket,0,,Read Attributes (0x00),"{'Layer ZBEE_ZCL': '', 'Sequence Number': '158', 'Command': 'Read Attributes (0x00)', 'Attribute': ['Current Summation Delivered (0x0000)', 'Status (0x0200)']}"
2042,Power Plug 1,Socket,0x3d95,0x0000,Coordinator,Coordinator,0x3d95,Power Plug 1,Socket,0x0000,Coordinator,Coordinator,0,,Read Attributes Response (0x01),"{'Layer ZBEE_ZCL': '', 'Sequence Number': '158', 'Command': 'Read Attributes Response (0x01)', 'Attribute': ['Current Summation Delivered (0x0000)', 'Status (0x0200)'], 'Status': ['Success (0x00)', 'Success (0x00)'], 'Data Type': ['48-Bit Unsigned Integer (0x25)', '8-Bit Bitmap (0x18)'], 'Uint48': '100 (0x0000000000000064)', 'Bitmap8': '0x00'}"
2043,Coordinator,Coordinator,0x0000,0xe1a6,Smart Socket,Socket,0x0000,Coordinator,Coordinator,0xe1a6,Smart Socket,Socket,0,,Read Attributes (0x00),"{'Layer ZBEE_ZCL': '', 'Sequence Number': '160', 'Command': 'Read Attributes (0x00)', 'Attribute': ['Active Power (0x050b)', 'RMS Current (0x0508)', 'RMS Voltage (0x0505)']}"
2044,Smart Socket,Socket,0xe1a6,0x0000,Coordinator,Coordinator,0xe1a6,Smart Socket,Socket,0x0000,Coordinator,Coordinator,0,,Read Attributes Response (0x01),"{'Layer ZBEE_ZCL': '', 'Sequence Number': '160', 'Command': 'Read Attributes Response (0x01)', 'Attribute': ['Active Power (0x050b)', 'RMS Current (0x0508)', 'RMS Voltage (0x0505)'], 'Status': ['Success (0x00)', 'Success (0x00)', 'Success (0x00)'], 'Data Type': ['16-Bit Signed Integer (0x29)', '16-Bit Unsigned Integer (0x21)', '16-Bit Unsigned Integer (0x21)'], 'Int16': '0', 'Uint16': ['0 (0x0000)', '222 (0x00de)']}"
2045,Coordinator,Coordinator,0x0000,0xe1a6,Smart Socket,Socket,0x0000,Coordinator,Coordinator,0x3d95,Power Plug 1,Socket,0,,Read Attributes (0x00),"{'Layer ZBEE_ZCL': '', 'Sequence Number': '162', 'Command': 'Read Attributes (0x00)', 'Attribute': ['Active Power (0x050b)', 'RMS Current (0x0508)', 'RMS Voltage (0x0505)']}"
2046,Smart Socket,Socket,0xe1a6,0x3d95,Power Plug 1,Socket,0x0000,Coordinator,Coordinator,0x3d95,Power Plug 1,Socket,0,,Read Attributes (0x00),"{'Layer ZBEE_ZCL': '', 'Sequence Number': '162', 'Command': 'Read Attributes (0x00)', 'Attribute': ['Active Power (0x050b)', 'RMS Current (0x0508)', 'RMS Voltage (0x0505)']}"
2047,Power Plug 1,Socket,0x3d95,0x0000,Coordinator,Coordinator,0x3d95,Power Plug 1,Socket,0x0000,Coordinator,Coordinator,0,,Read Attributes Response (0x01),"{'Layer ZBEE_ZCL': '', 'Sequence Number': '162', 'Command': 'Read Attributes Response (0x01)', 'Attribute': ['Active Power (0x050b)', 'RMS Current (0x0508)', 'RMS Voltage (0x0505)'], 'Status': ['Success (0x00)', 'Success (0x00)', 'Success (0x00)'], 'Data Type': ['16-Bit Signed Integer (0x29)', '16-Bit Unsigned Integer (0x21)', '16-Bit Unsigned Integer (0x21)'], 'Int16': '0', 'Uint16': ['0 (0x0000)', '219 (0x00db)']}"
2048,Coordinator,Coordinator,0x0000,0xa706,Power Plug 2,Socket,0x0000,Coordinator,Coordinator,0xa706,Power Plug 2,Socket,0,,Read Attributes (0x00),"{'Layer ZBEE_ZCL': '', 'Sequence Number': '164', 'Command': 'Read Attributes (0x00)', 'Attribute': ['Active Power (0x050b)', 'RMS Current (0x0508)', 'RMS Voltage (0x0505)']}"
2049,Power Plug 2,Socket,0xa706,0x0000,Coordinator,Coordinator,0xa706,Power Plug 2,Socket,0x0000,Coordinator,Coordinator,0,,Read Attributes Response (0x01),"{'Layer ZBEE_ZCL': '', 'Sequence Number': '164', 'Command': 'Read Attributes Response (0x01)', 'Attribute': ['Active Power (0x050b)', 'RMS Current (0x0508)', 'RMS Voltage (0x0505)'], 'Status': ['Success (0x00)', 'Success (0x00)', 'Success (0x00)'], 'Data Type': ['16-Bit Signed Integer (0x29)', '16-Bit Unsigned Integer (0x21)', '16-Bit Unsigned Integer (0x21)'], 'Int16': '0', 'Uint16': ['0 (0x0000)', '219 (0x00db)']}"
2050,Coordinator,Coordinator,0x0000,0xa706,Power Plug 2,Socket,0x0000,Coordinator,Coordinator,0xa706,Power Plug 2,Socket,0,,Read Attributes (0x00),"{'Layer ZBEE_ZCL': '', 'Sequence Number': '166', 'Command': 'Read Attributes (0x00)', 'Attribute': ['Current Summation Delivered (0x0000)', 'Status (0x0200)']}"
2051,Power Plug 2,Socket,0xa706,0x0000,Coordinator,Coordinator,0xa706,Power Plug 2,Socket,0x0000,Coordinator,Coordinator,0,,Read Attributes Response (0x01),"{'Layer ZBEE_ZCL': '', 'Sequence Number': '166', 'Command': 'Read Attributes Response (0x01)', 'Attribute': ['Current Summation Delivered (0x0000)', 'Status (0x0200)'], 'Status': ['Success (0x00)', 'Success (0x00)'], 'Data Type': ['48-Bit Unsigned Integer (0x25)', '8-Bit Bitmap (0x18)'], 'Uint48': '24 (0x0000000000000018)', 'Bitmap8': '0x00'}"
2052,Ledvance Z3 Plug,Socket,0x4e11,0xffff,Broadcast,Broadcast,0x4e11,Ledvance Z3 Plug,Socket,0xfffc,Broadcast,Broadcast,0,,Link Status (0x08),"{'Command Identifier': 'Link Status (0x08)', 'Last Frame': 'True', 'First Frame': 'True', 'Link Status Count': '8', 'Links': [{'Address': '0x0000', 'Incoming Cost': '3', 'Outgoing Cost': '1'}, {'Address': '0x0112', 'Incoming Cost': '3', 'Outgoing Cost': '7'}, {'Address': '0x1cd8', 'Incoming Cost': '3', 'Outgoing Cost': '1'}, {'Address': '0x1e15', 'Incoming Cost': '3', 'Outgoing Cost': '3'}, {'Address': '0x3d95', 'Incoming Cost': '3', 'Outgoing Cost': '2'}, {'Address': '0xa706', 'Incoming Cost': '5', 'Outgoing Cost': '0'}, {'Address': '0xe1a6', 'Incoming Cost': '1', 'Outgoing Cost': '1'}, {'Address': '0xec7f', 'Incoming Cost': '1', 'Outgoing Cost': '1'}]}"
2053,Philips Lamp 1,Bulb,0x1cd8,0xffff,Broadcast,Broadcast,0x1cd8,Philips Lamp 1,Bulb,0xfffc,Broadcast,Broadcast,0,,Link Status (0x08),"{'Command Identifier': 'Link Status (0x08)', 'Last Frame': 'True', 'First Frame': 'True', 'Link Status Count': '8', 'Links': [{'Address': '0x0000', 'Incoming Cost': '1', 'Outgoing Cost': '1'}, {'Address': '0x0112', 'Incoming Cost': '1', 'Outgoing Cost': '3'}, {'Address': '0x1e15', 'Incoming Cost': '1', 'Outgoing Cost': '1'}, {'Address': '0x3d95', 'Incoming Cost': '1', 'Outgoing Cost': '1'}, {'Address': '0x4e11', 'Incoming Cost': '1', 'Outgoing Cost': '3'}, {'Address': '0xa706', 'Incoming Cost': '1', 'Outgoing Cost': '5'}, {'Address': '0xe1a6', 'Incoming Cost': '1', 'Outgoing Cost': '1'}, {'Address': '0xec7f', 'Incoming Cost': '1', 'Outgoing Cost': '1'}]}"
2054,Ledvance Smart+ Plug,Socket,0x0112,0xffff,Broadcast,Broadcast,0x0112,Ledvance Smart+ Plug,Socket,0xfffc,Broadcast,Broadcast,0,,Link Status (0x08),"{'Command Identifier': 'Link Status (0x08)', 'Last Frame': 'True', 'First Frame': 'True', 'Link Status Count': '8', 'Links': [{'Address': '0x0000', 'Incoming Cost': '3', 'Outgoing Cost': '1'}, {'Address': '0x1cd8', 'Incoming Cost': '3', 'Outgoing Cost': '1'}, {'Address': '0x1e15', 'Incoming Cost': '7', 'Outgoing Cost': '0'}, {'Address': '0x3d95', 'Incoming Cost': '7', 'Outgoing Cost': '7'}, {'Address': '0x4e11', 'Incoming Cost': '7', 'Outgoing Cost': '3'}, {'Address': '0xa706', 'Incoming Cost': '1', 'Outgoing Cost': '2'}, {'Address': '0xe1a6', 'Incoming Cost': '7', 'Outgoing Cost': '7'}, {'Address': '0xec7f', 'Incoming Cost': '7', 'Outgoing Cost': '1'}]}"
2055,Smart Socket,Socket,0xe1a6,0x0000,Coordinator,Coordinator,0xe1a6,Smart Socket,Socket,0x0000,Coordinator,Coordinator,0,,Report Attributes (0x0a),"{'Layer ZBEE_ZCL': '', 'Sequence Number': '43', 'Command': 'Report Attributes (0x0a)', 'Attribute': 'RMS Voltage (0x0505)', 'Data Type': '16-Bit Unsigned Integer (0x21)', 'Uint16': '220 (0x00dc)'}"
2056,Coordinator,Coordinator,0x0000,0xffff,Broadcast,Broadcast,0x0000,Coordinator,Coordinator,0xfffc,Broadcast,Broadcast,0,,Link Status (0x08),"{'Command Identifier': 'Link Status (0x08)', 'Last Frame': 'True', 'First Frame': 'True', 'Link Status Count': '8', 'Links': [{'Address': '0x0112', 'Incoming Cost': '1', 'Outgoing Cost': '3'}, {'Address': '0x1cd8', 'Incoming Cost': '1', 'Outgoing Cost': '1'}, {'Address': '0x1e15', 'Incoming Cost': '1', 'Outgoing Cost': '3'}, {'Address': '0x3d95', 'Incoming Cost': '1', 'Outgoing Cost': '3'}, {'Address': '0x4e11', 'Incoming Cost': '1', 'Outgoing Cost': '3'}, {'Address': '0xa706', 'Incoming Cost': '1', 'Outgoing Cost': '5'}, {'Address': '0xe1a6', 'Incoming Cost': '1', 'Outgoing Cost': '1'}, {'Address': '0xec7f', 'Incoming Cost': '1', 'Outgoing Cost': '1'}]}"
2057,Smart Socket,Socket,0xe1a6,0xffff,Broadcast,Broadcast,0xe1a6,Smart Socket,Socket,0xfffc,Broadcast,Broadcast,0,,Link Status (0x08),"{'Command Identifier': 'Link Status (0x08)', 'Last Frame': 'True', 'First Frame': 'True', 'Link Status Count': '8', 'Links': [{'Address': '0x0000', 'Incoming Cost': '1', 'Outgoing Cost': '1'}, {'Address': '0x0112', 'Incoming Cost': '7', 'Outgoing Cost': '7'}, {'Address': '0x1cd8', 'Incoming Cost': '1', 'Outgoing Cost': '1'}, {'Address': '0x1e15', 'Incoming Cost': '1', 'Outgoing Cost': '1'}, {'Address': '0x3d95', 'Incoming Cost': '1', 'Outgoing Cost': '1'}, {'Address': '0x4e11', 'Incoming Cost': '1', 'Outgoing Cost': '1'}, {'Address': '0xa706', 'Incoming Cost': '5', 'Outgoing Cost': '5'}, {'Address': '0xec7f', 'Incoming Cost': '1', 'Outgoing Cost': '1'}]}"
2058,Moes Bulb,Bulb,0x1e15,0xffff,Broadcast,Broadcast,0x1e15,Moes Bulb,Bulb,0xfffc,Broadcast,Broadcast,0,,Link Status (0x08),"{'Command Identifier': 'Link Status (0x08)', 'Last Frame': 'True', 'First Frame': 'True', 'Link Status Count': '6', 'Links': [{'Address': '0x0000', 'Incoming Cost': '3', 'Outgoing Cost': '1'}, {'Address': '0x1cd8', 'Incoming Cost': '1', 'Outgoing Cost': '1'}, {'Address': '0x3d95', 'Incoming Cost': '1', 'Outgoing Cost': '1'}, {'Address': '0x4e11', 'Incoming Cost': '3', 'Outgoing Cost': '3'}, {'Address': '0xe1a6', 'Incoming Cost': '1', 'Outgoing Cost': '1'}, {'Address': '0xec7f', 'Incoming Cost': '1', 'Outgoing Cost': '1'}]}"
2059,Power Plug 2,Socket,0xa706,0xffff,Broadcast,Broadcast,0xa706,Power Plug 2,Socket,0xfffc,Broadcast,Broadcast,0,,Link Status (0x08),"{'Command Identifier': 'Link Status (0x08)', 'Last Frame': 'True', 'First Frame': 'True', 'Link Status Count': '7', 'Links': [{'Address': '0x0000', 'Incoming Cost': '5', 'Outgoing Cost': '1'}, {'Address': '0x0112', 'Incoming Cost': '2', 'Outgoing Cost': '1'}, {'Address': '0x1cd8', 'Incoming Cost': '5', 'Outgoing Cost': '1'}, {'Address': '0x1e15', 'Incoming Cost': '7', 'Outgoing Cost': '0'}, {'Address': '0x3d95', 'Incoming Cost': '7', 'Outgoing Cost': '5'}, {'Address': '0xe1a6', 'Incoming Cost': '5', 'Outgoing Cost': '5'}, {'Address': '0xec7f', 'Incoming Cost': '5', 'Outgoing Cost': '1'}]}"
2060,Power Plug 1,Socket,0x3d95,0xffff,Broadcast,Broadcast,0x3d95,Power Plug 1,Socket,0xfffc,Broadcast,Broadcast,0,,Link Status (0x08),"{'Command Identifier': 'Link Status (0x08)', 'Last Frame': 'True', 'First Frame': 'True', 'Link Status Count': '8', 'Links': [{'Address': '0x0000', 'Incoming Cost': '3', 'Outgoing Cost': '1'}, {'Address': '0x0112', 'Incoming Cost': '7', 'Outgoing Cost': '7'}, {'Address': '0x1cd8', 'Incoming Cost': '1', 'Outgoing Cost': '1'}, {'Address': '0x1e15', 'Incoming Cost': '1', 'Outgoing Cost': '1'}, {'Address': '0x4e11', 'Incoming Cost': '2', 'Outgoing Cost': '3'}, {'Address': '0xa706', 'Incoming Cost': '5', 'Outgoing Cost': '7'}, {'Address': '0xe1a6', 'Incoming Cost': '1', 'Outgoing Cost': '1'}, {'Address': '0xec7f', 'Incoming Cost': '1', 'Outgoing Cost': '1'}]}"
2061,Smart Socket,Socket,0xe1a6,0x0000,Coordinator,Coordinator,0xe1a6,Smart Socket,Socket,0x0000,Coordinator,Coordinator,0,,Report Attributes (0x0a),"{'Layer ZBEE_ZCL': '', 'Sequence Number': '44', 'Command': 'Report Attributes (0x0a)', 'Attribute': 'RMS Voltage (0x0505)', 'Data Type': '16-Bit Unsigned Integer (0x21)', 'Uint16': '222 (0x00de)'}"
2062,Philips Motion,Motion,0x059b,0x1cd8,Philips Lamp 1,Bulb,0x059b,Philips Motion,Motion,0x0000,Coordinator,Coordinator,1,device,Report Attributes (0x0a),"{'Layer ZBEE_ZCL': '', 'Sequence Number': '211', 'Command': 'Report Attributes (0x0a)', 'Attribute': 'Measured Value (0x0000)', 'Data Type': '16-Bit Unsigned Integer (0x21)', 'Measured Value': '15461 (=34.164140 [lx])'}"
2063,Philips Lamp 1,Bulb,0x1cd8,0x0000,Coordinator,Coordinator,0x059b,Philips Motion,Motion,0x0000,Coordinator,Coordinator,0,,Route Record (0x05),"{'Layer ZBEE_NWK': '', 'Destination': ['0x0000', 'e0:79:8d:ff:fe:71:86:77 (e0:79:8d:ff:fe:71:86:77)'], 'Source': '0x059b', 'Radius': '30', 'Sequence Number': '222', 'Extended Source': ['00:17:88:01:08:68:18:1e (00:17:88:01:08:68:18:1e)', '00:17:88:01:06:e3:0a:cb (00:17:88:01:06:e3:0a:cb)'], 'Security Control Field': '0x28, Key Id: Network Key, Extended Nonce', 'Frame Counter': '3892473', 'Key Sequence Number': '0', 'Message Integrity Code': 'aff89bd1', 'Key': '60ca4507229ff82271c615339e526146', 'Key Label': '', 'Command Identifier': 'Route Record (0x05)', 'Relay Count': '1', 'Relay Device 1': '0x1cd8', 'Command Frame': 'Route Record'}"
2064,Philips Lamp 1,Bulb,0x1cd8,0x0000,Coordinator,Coordinator,0x059b,Philips Motion,Motion,0x0000,Coordinator,Coordinator,1,device,Report Attributes (0x0a),"{'Layer ZBEE_ZCL': '', 'Sequence Number': '211', 'Command': 'Report Attributes (0x0a)', 'Attribute': 'Measured Value (0x0000)', 'Data Type': '16-Bit Unsigned Integer (0x21)', 'Measured Value': '15461 (=34.164140 [lx])'}"
2065,Ledvance Bulb,Bulb,0xec7f,0xffff,Broadcast,Broadcast,0xec7f,Ledvance Bulb,Bulb,0xfffc,Broadcast,Broadcast,0,,Link Status (0x08),"{'Command Identifier': 'Link Status (0x08)', 'Last Frame': 'True', 'First Frame': 'True', 'Link Status Count': '8', 'Links': [{'Address': '0x0000', 'Incoming Cost': '1', 'Outgoing Cost': '1'}, {'Address': '0x0112', 'Incoming Cost': '1', 'Outgoing Cost': '7'}, {'Address': '0x1cd8', 'Incoming Cost': '1', 'Outgoing Cost': '1'}, {'Address': '0x1e15', 'Incoming Cost': '1', 'Outgoing Cost': '1'}, {'Address': '0x3d95', 'Incoming Cost': '1', 'Outgoing Cost': '1'}, {'Address': '0x4e11', 'Incoming Cost': '1', 'Outgoing Cost': '1'}, {'Address': '0xa706', 'Incoming Cost': '1', 'Outgoing Cost': '5'}, {'Address': '0xe1a6', 'Incoming Cost': '1', 'Outgoing Cost': '1'}]}"
2066,Coordinator,Coordinator,0x0000,0x1cd8,Philips Lamp 1,Bulb,0x0000,Coordinator,Coordinator,0x059b,Philips Motion,Motion,0,,Default Response (0x0b),"{'Layer ZBEE_ZCL': '', 'Sequence Number': '211', 'Command': 'Default Response (0x0b)', 'Response to Command': '0x0a', 'Status': 'Success (0x00)'}"
2067,Philips Lamp 1,Bulb,0x1cd8,0x059b,Philips Motion,Motion,0x0000,Coordinator,Coordinator,0x059b,Philips Motion,Motion,0,,Default Response (0x0b),"{'Layer ZBEE_ZCL': '', 'Sequence Number': '211', 'Command': 'Default Response (0x0b)', 'Response to Command': '0x0a', 'Status': 'Success (0x00)'}"
2068,Philips Lamp 1,Bulb,0x1cd8,0x0000,Coordinator,Coordinator,0x059b,Philips Motion,Motion,0x0000,Coordinator,Coordinator,0,,Route Record (0x05),"{'Layer ZBEE_NWK': '', 'Destination': ['0x0000', 'e0:79:8d:ff:fe:71:86:77 (e0:79:8d:ff:fe:71:86:77)'], 'Source': '0x059b', 'Radius': '30', 'Sequence Number': '223', 'Extended Source': ['00:17:88:01:08:68:18:1e (00:17:88:01:08:68:18:1e)', '00:17:88:01:06:e3:0a:cb (00:17:88:01:06:e3:0a:cb)'], 'Security Control Field': '0x28, Key Id: Network Key, Extended Nonce', 'Frame Counter': '3892476', 'Key Sequence Number': '0', 'Message Integrity Code': 'f0578697', 'Key': '60ca4507229ff82271c615339e526146', 'Key Label': '', 'Command Identifier': 'Route Record (0x05)', 'Relay Count': '1', 'Relay Device 1': '0x1cd8', 'Command Frame': 'Route Record'}"
